gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
CA4,0.717506572,3.964730435,0.919950209,0.368705783,0.823291967,-4.596392944,,,,,,,,,,,,,,,,,,,
CA9,1.372636513,0.95356087,1.214740981,0.238797508,0.823291967,-4.591555054,,,,,,,,,,,,,,,,,,,
CACNA1C,-0.71268273,-0.442756522,-1.270611694,0.218639513,0.823291967,-4.590525638,,,,,,,,,,,,,,,,,,,
CACYBP,0.409401712,7.529941304,0.776998721,0.446372239,0.823291967,-4.598337179,,,,,,,,,,,,,,,,,,,
CADPS,0.929079259,0.745497826,0.74401032,0.465635887,0.823291967,-4.598745081,,,,,,,,,,,,,,,,,,,
CALB2,1.123750014,4.226032609,0.953018031,0.352106955,0.823291967,-4.595903813,,,,,,,,,,,,,,,,,,,
CALCA,1.626998308,0.8137,1.128759128,0.272532323,0.823291967,-4.593072857,,,,,,,,,,,,,,,,,,,
CALCB,0.880274322,3.145686957,1.104669364,0.282587535,0.823291967,-4.593483029,,,,,,,,,,,,,,,,,,,
CALCOCO2,1.029294708,5.460402174,1.354623184,0.190841765,0.823291967,-4.588917644,,,,,,,,,,,,,,,,,,,
CANT1,0.359325443,3.025130435,0.729309731,0.474378421,0.823291967,-4.598921774,,,,,,,,,,,,,,,,,,,
CARHSP1,1.062244525,2.661402174,1.181717092,0.25136015,0.823291967,-4.59214776,,,,,,,,,,,,,,,,,,,
CASP1,2.01682394,-1.188967391,1.171684202,0.255273568,0.823291967,-4.592325447,,,,,,,,,,,,,,,,,,,
CASP10,2.447294216,0.270652174,1.676152467,0.109476976,0.823291967,-4.582186694,,,,,,,,,,,,,,,,,,,
CASP3,0.736160889,3.34678913,0.95937701,0.348974269,0.823291967,-4.595808114,,,,,,,,,,,,,,,,,,,
CASP7,1.779356207,2.279147826,1.743135065,0.096867987,0.823291967,-4.580687715,,,,,,,,,,,,,,,,,,,
CASP8,1.21619172,-1.897886957,1.160886907,0.259535934,0.823291967,-4.592515415,,,,,,,,,,,,,,,,,,,
CAT,1.319380926,3.288428261,1.263589218,0.221098557,0.823291967,-4.590656827,,,,,,,,,,,,,,,,,,,
CBLIF,2.948492092,-4.148106522,1.873454535,0.075890267,0.823291967,-4.577695338,,,,,,,,,,,,,,,,,,,
CBLN1,3.064660263,-3.167645652,1.557487406,0.135244433,0.823291967,-4.584766997,,,,,,,,,,,,,,,,,,,
CC2D1A,1.297061479,2.288947826,0.820992112,0.421456369,0.823291967,-4.597769014,,,,,,,,,,,,,,,,,,,
CCDC50,1.533538277,4.464778261,1.273145585,0.21775744,0.823291967,-4.590478177,,,,,,,,,,,,,,,,,,,
CCL11,1.323077633,-4.455923913,1.240634951,0.229285445,0.823291967,-4.591082058,,,,,,,,,,,,,,,,,,,
CCL13,1.422959935,-5.379367391,1.270417915,0.218707083,0.823291967,-4.590529265,,,,,,,,,,,,,,,,,,,
CCL14,0.8997106,0.047345652,0.968111962,0.344702264,0.823291967,-4.595675806,,,,,,,,,,,,,,,,,,,
CCL17,1.728500682,-1.344813043,1.494171402,0.150946145,0.823291967,-4.586100152,,,,,,,,,,,,,,,,,,,
CCL19,2.111068945,-0.115463043,1.443362771,0.164602622,0.823291967,-4.587145991,,,,,,,,,,,,,,,,,,,
CCL2,0.848039265,2.476828261,1.442176042,0.164933214,0.823291967,-4.587170153,,,,,,,,,,,,,,,,,,,
