gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
POU3F3,-1.557670031,2.250054476,-8.811516595,6.80E-10,1.82E-07,12.53355163,NA,0.008070652
EID1,-1.836763923,4.757916122,-8.801731013,6.96E-10,1.83E-07,12.64769325,NA,0.044038035
ENOX1,-1.615332109,3.071339613,-8.79027089,7.17E-10,1.87E-07,12.5629982,NA,0.013185517
JCAD,-1.680967238,2.719853372,-8.772725854,7.49E-10,1.93E-07,12.49023899,NA,0.011149928
MYL12B,-1.515351185,4.571219803,-8.767866335,7.59E-10,1.94E-07,12.56458553,NA,0.040086363
ANK3,-2.111359771,3.90514081,-8.7588808,7.76E-10,1.95E-07,12.52918675,NA,0.016033749
CCDC148,0.717567976,7.148861953,8.758983844,7.76E-10,1.95E-07,12.41810152,NA,0.400170496
ZNF804B,-2.449506063,2.734536854,-8.753044068,7.88E-10,1.97E-07,12.40610424,NA,0.006266108
C18orf32,-1.247835595,4.77448551,-8.742265256,8.09E-10,1.99E-07,12.49858993,NA,0.057968474
HSPA8,-2.397374959,5.601067167,-8.741099446,8.12E-10,1.99E-07,12.48559289,Metabolism (other),0.051586843
LAPTM4A,-1.732817625,5.350449042,-8.733600878,8.27E-10,2.02E-07,12.4668405,NA,0.069500823
SRXN1,-1.655425975,1.232431618,-8.726301991,8.43E-10,2.04E-07,12.12242094,NA,0.003959639
EMCN,-2.060848716,2.766753455,-8.716474634,8.64E-10,2.04E-07,12.34351445,NA,0.00836145
INAFM2,-1.95338239,1.43699202,-8.716973805,8.63E-10,2.04E-07,12.11422134,NA,0.004688627
SHANK2,0.747372251,10.41154529,8.720904963,8.54E-10,2.04E-07,12.02427059,NA,0.87008481
EI24,-1.580898187,3.874747258,-8.695401389,9.11E-10,2.06E-07,12.38121877,NA,0.027741373
GABARAP,-2.419621948,4.842943125,-8.6936983,9.15E-10,2.06E-07,12.38149524,NA,0.032641127
REEP5,-1.321239528,5.061467567,-8.704780876,8.90E-10,2.06E-07,12.40063975,NA,0.070910996
RPS25,-1.44807175,4.706157262,-8.703615893,8.92E-10,2.06E-07,12.40450241,NA,0.047571435
RPS7,-1.932744601,5.076015789,-8.692288664,9.18E-10,2.06E-07,12.37283805,NA,0.054630268
SAR1B,-0.726071138,5.917143303,-8.69324789,9.16E-10,2.06E-07,12.33340009,NA,0.139770468
TMEM19,-1.567890993,3.368467492,-8.707160604,8.84E-10,2.06E-07,12.38474873,NA,0.020172647
PGK1,-0.911303323,6.201038289,-8.677164358,9.54E-10,2.12E-07,12.27869679,Metabolism (other),0.151549796
JUND,-2.553143764,6.690787679,-8.66419973,9.86E-10,2.17E-07,12.2476773,Development (apoptosis),0.098373521
RAN,-1.632798292,3.325287435,-8.662378888,9.91E-10,2.17E-07,12.28019934,NA,0.016563559
COX7C,-1.757198128,5.062701599,-8.65939038,9.98E-10,2.17E-07,12.2890362,NA,0.052698251
ATMIN,-1.340560889,4.205810487,-8.62843084,1.08E-09,2.27E-07,12.22100709,Metabolism (other),0.037333737
DACH1,-1.955426901,2.868306751,-8.631558037,1.07E-09,2.27E-07,12.1545463,Development (differentiation),0.008449088
HLA-DRB1,-3.273056305,-0.035324146,-8.624567577,1.09E-09,2.27E-07,11.04632878,Inflammation/Immune/Stress/Toxic/Detox,0.00090028
LRP10,-1.522388008,4.820395633,-8.62242687,1.10E-09,2.27E-07,12.20171108,Metabolism or Transport (lipid),0.053582597
MLEC,-1.417574181,5.35050011,-8.6223307,1.10E-09,2.27E-07,12.18577867,Inflammation/Immune/Stress/Toxic/Detox,0.07722889
NORAD,-2.37833094,6.344932614,-8.627916875,1.08E-09,2.27E-07,12.17448144,NA,0.106420271
TAF13,-1.07366749,3.88588131,-8.619893549,1.10E-09,2.27E-07,12.197445,NA,0.030541801
TRMT112,-2.198549496,2.678269014,-8.623580237,1.09E-09,2.27E-07,12.12771239,NA,0.007835623
HIPK1,-1.15985111,6.745352536,-8.598687728,1.16E-09,2.38E-07,12.04877295,NA,0.191038628
AC090578.1,-1.806506938,3.156890126,-8.593340921,1.18E-09,2.40E-07,12.09007675,NA,0.012878785
MYLK,-1.956638081,2.368596593,-8.580911274,1.22E-09,2.46E-07,11.96753512,NA,0.008947031
CHD4,-0.777132894,6.090972706,-8.569204324,1.26E-09,2.51E-07,12.01172761,NA,0.150669434
