geneSym,FC_ADvsNCI,LOG10 FC,t_ADvsNCI,p_ADvsNCI,,,,,,,
PLS1,0.885300295,-0.052909391,-1.95266939,0.091805846,,,,,,,
SRPX2,0.804346244,-0.094556962,-1.951999583,0.091896474,,,,,,,
LRRC47,0.912997312,-0.039530501,-1.951892538,0.091910966,,,,,,,
CIAO3,0.950170256,-0.022198569,-1.948775388,0.09233395,,,,,,,
TOM1L1,0.765758326,-0.115908272,-1.946785979,0.092604902,,,,,,,
TNS3,0.92728452,-0.03278699,-1.94229625,0.093219257,,,,,,,
QTRT2,0.767008332,-0.115199918,-1.940246721,0.093501031,,,,,,,
TMEM222,0.793537415,-0.100432592,-1.94013727,0.093516102,,,,,,,
AKR7A2,1.068271048,0.028681459,1.939585145,0.093592164,,,,,,,
COLEC10,0.933744433,-0.029771974,-1.938581396,0.093730598,,,,,,,
CARD17P,0.504952157,-0.296749768,-1.936349883,0.094039079,,,,,,,
PPM1L,1.113275149,0.046602515,1.936124653,0.09407027,,,,,,,
WNT11,1.33025732,0.123935657,1.935304939,0.094183872,,,,,,,
KIAA0040,0.793303842,-0.100560442,-1.929259421,0.095025864,,,,,,,
RAB11FIP5,1.08186162,0.034171714,1.928917498,0.095073705,,,,,,,
HEBP1,1.295279659,0.112363545,1.924709842,0.095664358,,,,,,,
SVBP,0.639932175,-0.193866054,-1.923229329,0.095873039,,,,,,,
NIPSNAP3A,1.5460288,0.18921758,1.921803545,0.096074425,,,,,,,
VPS50,0.890575999,-0.050329013,-1.918445775,0.096550331,,,,,,,
ATP6V0A4,1.393456615,0.144093451,1.914380255,0.09712963,,,,,,,
TTC39B,0.733451666,-0.1346285,-1.913497973,0.097255794,,,,,,,
MARVELD3,0.70989115,-0.148808238,-1.911758507,0.097505002,,,,,,,
ATG16L1,0.93507212,-0.029154892,-1.909991603,0.097758779,,,,,,,
CYTH4,1.099190664,0.041073031,1.909216919,0.097870249,,,,,,,
DDX20,1.091009377,0.037828483,1.908023556,0.098042205,,,,,,,
CASD1,0.765849535,-0.115856547,-1.905728048,0.098373801,,,,,,,
IFNGR1,1.168303571,0.067555704,1.904767236,0.09851292,,,,,,,
GNL3,0.858663104,-0.066177198,-1.903325364,0.098722052,,,,,,,
DDX39A,1.234750326,0.09157915,1.902490992,0.098843268,,,,,,,
FHIT,1.159613599,0.0643133,1.894930646,0.099948255,,,,,,,
LIAT1,0.516964563,-0.286539226,-1.892465855,0.100311092,,,,,,,
PCIF1,0.935159937,-0.029114107,-1.890135721,0.100655284,,,,,,,
PCDHB8,0.814757615,-0.088971572,-1.884452109,0.101499656,,,,,,,
PROZ,1.464602286,0.165719708,1.884251608,0.101529569,,,,,,,
HLA-DQA2,0.594119837,-0.226125947,-1.884244289,0.101530661,,,,,,,
PPP1R16A,0.785591996,-0.10480295,-1.883711001,0.101610264,,,,,,,
SMC6,0.895475819,-0.047946137,-1.882666675,0.101766324,,,,,,,
TGIF2LX,0.854960683,-0.068053857,-1.880477141,0.102094277,,,,,,,
STRADA,0.895946972,-0.047717694,-1.880336859,0.102115323,,,,,,,
POLB,0.851432724,-0.069849662,-1.880108666,0.102149568,,,,,,,
NSUN5,0.899736779,-0.045884526,-1.878581678,0.102379012,,,,,,,
SS18,1.249051833,0.096580461,1.875851741,0.102790457,,,,,,,
ZNF787,1.066597497,0.02800056,1.874649417,0.102972176,,,,,,,
BDP1,0.104500396,-0.980882063,-1.868367825,0.103926654,,,,,,,
TTLL7,0.573255283,-0.241651934,-1.865633889,0.104344748,,,,,,,
FXYD6,0.735341397,-0.133510984,-1.865205123,0.104410465,,,,,,,
HELZ,0.78545704,-0.104877563,-1.859209278,0.105333675,,,,,,,
CPVL,0.932538292,-0.030333326,-1.857406938,0.105612734,,,,,,,
LCA5,0.834738829,-0.078449384,-1.855161034,0.105961472,,,,,,,
INTS4,0.729162606,-0.137175611,-1.854524358,0.106060536,,,,,,,
APOA1,0.484141152,-0.315028,-1.853930796,0.106152972,,,,,,,
PPP4C,0.694628836,-0.158247192,-1.853321837,0.106247888,,,,,,,
PXMP4,0.836866359,-0.07734389,-1.851434286,0.106542613,,,,,,,
POLR2J,0.680935961,-0.16689373,-1.848745661,0.106963786,,,,,,,
IGHV6-1,0.768858642,-0.1141535,-1.848659199,0.106977357,,,,,,,
JMY,1.140031087,0.056916694,1.848436504,0.107012319,,,,,,,
CFD,0.707110857,-0.150512495,-1.846669021,0.107290194,,,,,,,
DCAKD,0.768489062,-0.114362309,-1.843568226,0.107779373,,,,,,,
MGRN1,0.891406195,-0.049924352,-1.836886904,0.108840753,,,,,,,
LSM4,1.057801759,0.024404285,1.832022716,0.10961981,,,,,,,
RCOR1,0.842664093,-0.074345512,-1.8311518,0.109759865,,,,,,,
FTSJ3,0.905712669,-0.043009557,-1.829316182,0.110055622,,,,,,,
BCO1,0.861403988,-0.064793122,-1.828775921,0.110142816,,,,,,,
MAP9,1.150069185,0.060723967,1.828373762,0.110207764,,,,,,,
