gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
BNIP2,-2.281438392,1.088108696,-2.93114939,0.008336705,0.096125412,-2.443730244,,,,,,,,,,,,,,,,,,,
BOLA1,-3.399235365,2.102197826,-3.484920809,0.002370931,0.096125412,-1.390359887,,,,,,,,,,,,,,,,,,,
BPIFB1,-4.055053179,-7.15236087,-2.889343656,0.009149485,0.096125412,-2.521308222,,,,,,,,,,,,,,,,,,,
BPIFB2,-3.092772378,-2.252704348,-2.890997578,0.009115931,0.096125412,-2.518245903,,,,,,,,,,,,,,,,,,,
BRAP,-4.200612169,1.035223913,-3.462635702,0.002495699,0.096125412,-1.433409902,,,,,,,,,,,,,,,,,,,
BST1,-1.996195898,-1.6214,-2.766933066,0.011990033,0.096125412,-2.746283967,,,,,,,,,,,,,,,,,,,
C19orf12,-2.417529487,-0.55653913,-2.871710403,0.009514674,0.096125412,-2.5539212,,,,,,,,,,,,,,,,,,,
C1RL,-2.797231749,2.832693478,-3.063322228,0.006199548,0.096125412,-2.196268559,,,,,,,,,,,,,,,,,,,
C5,-3.24020682,1.116317391,-2.831884862,0.010391622,0.096125412,-2.627331758,,,,,,,,,,,,,,,,,,,
C9orf40,-3.675454802,0.453652174,-2.659106308,0.015172711,0.096125412,-2.941455017,,,,,,,,,,,,,,,,,,,
CALCOCO2,-2.14173167,5.460402174,-2.999008981,0.007163329,0.096125412,-2.317074847,,,,,,,,,,,,,,,,,,,
CASP3,-2.51085227,3.34678913,-3.481542263,0.002389444,0.096125412,-1.396888792,,,,,,,,,,,,,,,,,,,
CASP7,-3.349030145,2.279147826,-3.490769251,0.002339218,0.096125412,-1.379056126,,,,,,,,,,,,,,,,,,,
CASP8,-3.155849873,-1.897886957,-3.205074651,0.004498481,0.096125412,-1.927687912,,,,,,,,,,,,,,,,,,,
CBLIF,-5.295180967,-4.148106522,-3.57979322,0.001905063,0.096125412,-1.206725694,,,,,,,,,,,,,,,,,,,
CCDC50,-3.011179543,4.464778261,-2.659830996,0.015148863,0.096125412,-2.940153523,,,,,,,,,,,,,,,,,,,
CCL17,-2.948081914,-1.344813043,-2.711467194,0.013538221,0.096125412,-2.847054927,,,,,,,,,,,,,,,,,,,
CCL5,-4.589380358,-3.888745652,-3.95730532,0.000794002,0.096125412,-0.472965705,,,,,,,,,,,,,,,,,,,
CCND2,-6.021850264,0.158815217,-2.70864849,0.013621772,0.096125412,-2.852155133,,,,,,,,,,,,,,,,,,,
CD200R1,-2.719582321,-5.176917391,-2.848227011,0.010022787,0.096125412,-2.597250421,,,,,,,,,,,,,,,,,,,
CD2AP,-2.729656912,4.468097826,-2.749413163,0.01245984,0.096125412,-2.778197375,,,,,,,,,,,,,,,,,,,
CD300LG,-2.683669772,-1.098213043,-3.255932532,0.004006803,0.096125412,-1.830652277,,,,,,,,,,,,,,,,,,,
CD34,-3.125002066,-3.797119565,-3.124476131,0.005400358,0.096125412,-2.080764214,,,,,,,,,,,,,,,,,,,
CD40LG,-2.501096562,-2.235095652,-3.823134623,0.001084332,0.096125412,-0.733982382,,,,,,,,,,,,,,,,,,,
CD5L,-4.503579911,1.50123913,-3.415834697,0.00277912,0.096125412,-1.523696495,,,,,,,,,,,,,,,,,,,
CD70,-4.14109954,-6.73961087,-2.862438355,0.009712271,0.096125412,-2.57104337,,,,,,,,,,,,,,,,,,,
CD72,-3.113351151,-0.821276087,-2.687115783,0.014276404,0.096125412,-2.891048213,,,,,,,,,,,,,,,,,,,
