gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
RPGR,-0.392158562,6.089572592,-0.57185134,0.569289759,0.999917524,-4.602440874,NA
RPGRIP1,-0.157656071,7.004483127,-0.290238912,0.772508055,0.999917524,-4.610213281,NA
RPGRIP1L,0.103438329,7.187552966,0.173552697,0.862727548,0.999917524,-4.609143748,NA
RPH3A,-0.579513267,8.401149518,-1.504864111,0.136944509,0.999917524,-4.554378975,NA
RPL13,1.054121695,5.885545537,1.372933882,0.174239399,0.999917524,-4.587980255,NA
RPL15,1.247692311,6.173770939,1.699718318,0.093709312,0.999917524,-4.579011329,NA
RPL17-C18orf32,0.030759328,5.705878452,0.041574145,0.966958817,0.999917524,-4.604301669,NA
RPL18,0.352796946,6.388274113,0.521037773,0.604016517,0.999917524,-4.602683504,NA
RPL22,0.232648237,6.465706334,0.374118199,0.709468983,0.999917524,-4.605695506,NA
RPL23,0.70950742,6.102485717,1.002858296,0.319449713,0.999917524,-4.595156643,NA
RPL26L1,-0.375336279,6.575970298,-0.641725068,0.523187878,0.999917524,-4.604028477,NA
RPL27,-0.265985264,6.432787862,-0.38731831,0.699718308,0.999917524,-4.605124287,NA
RPL35,0.645029699,6.053885124,0.866348794,0.389315614,0.999917524,-4.597337388,NA
RPL36A-HNRNPH2,-0.762346413,5.64684807,-1.080714338,0.283604751,0.999917524,-4.593624754,NA
RPL39,0.162390257,5.987897012,0.238890529,0.811901917,0.999917524,-4.604849374,NA
RPL3L,-0.736113129,6.311809881,-1.219985183,0.226643408,0.999917524,-4.589069784,NA
RPL4,0.636128448,6.482888583,0.976997036,0.331999645,0.999917524,-4.595757692,NA
RPL41,0.219757927,6.042057371,0.326017355,0.745402575,0.999917524,-4.604545632,NA
RPL7,0.486153828,6.775262129,0.760649103,0.449470426,0.999917524,-4.600286733,NA
RPLP2,-0.739265293,6.179314681,-1.127156671,0.263599116,0.999917524,-4.592123438,NA
RPN1,-0.090024584,7.986232366,-0.197555639,0.843976306,0.999917524,-4.619003113,NA
RPP38,-0.402971717,6.436525216,-0.644233476,0.521569986,0.999917524,-4.602431813,NA
RPP40,-0.286489072,6.63836955,-0.474497837,0.636650281,0.999917524,-4.606128884,NA
RPRD1B,-0.076269712,7.750329266,-0.154162395,0.877933831,0.999917524,-4.614923535,NA
RPS11,-0.267487259,6.436525216,-0.410730447,0.682548923,0.999917524,-4.605370023,NA
RPS12,0.800826699,6.00640223,1.128383116,0.263084638,0.999917524,-4.592634517,NA
RPS17,0.640159332,6.215694067,0.951072868,0.344902601,0.999917524,-4.59620968,NA
RPS27L,0.132993803,5.911008486,0.187236729,0.852027092,0.999917524,-4.604752761,NA
RPS28,-0.121218508,5.966744993,-0.16263615,0.871282521,0.999917524,-4.604096901,NA
RPS29,-0.566149626,7.304814024,-1.141234907,0.257736055,0.999917524,-4.589810868,NA
RPS3A,-0.932345251,5.911008486,-1.418982193,0.160426913,0.999917524,-4.584088334,NA
RPS5,0.546451432,6.129229829,0.73504475,0.464814955,0.999917524,-4.599483241,NA
RPS6,0.458352129,6.276122413,0.691891949,0.491337805,0.999917524,-4.600860503,NA
RPS6KA1,-0.27552806,8.414635737,-0.549890067,0.584178742,0.999917524,-4.610020842,NA
RPS6KA4,0.114506834,6.309340548,0.177386689,0.859726808,0.999917524,-4.606244336,NA
RPS6KA5,-0.043178178,8.492878382,-0.095962381,0.923829926,0.999917524,-4.618859151,NA
RPS6KA6,0.415967757,6.458188014,0.64390686,0.5217805,0.999917524,-4.602014674,NA
