Row,FC_ad_adnc,log10 LFC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,,
ALPI,0.350203467,-0.455679559,-1.131125967,0.272077948,,,,,,,,,,,,,,,,
ALPP,2.250423146,0.352264186,-0.120600415,0.905273759,,,,,,,,,,,,,,,,
AMBN,1.010805046,0.004667401,-0.080884457,0.936379779,,,,,,,,,,,,,,,,
AMBP,1.053498745,0.022634022,-0.519101971,0.609683746,,,,,,,,,,,,,,,,
AMDHD2,0.527111551,-0.278097467,-1.216174763,0.238812335,,,,,,,,,,,,,,,,
AMFR,0.52031255,-0.283735699,-1.448934127,0.163660193,,,,,,,,,,,,,,,,
AMIGO1,0.315287357,-0.501293444,-1.22471588,0.235650283,,,,,,,,,,,,,,,,
AMIGO2,0.713364664,-0.146688407,-0.147951827,0.883939635,,,,,,,,,,,,,,,,
AMN,0.797099175,-0.09848764,0.625355156,0.53917726,,,,,,,,,,,,,,,,
AMOT,0.359114544,-0.444767005,-2.131607167,0.046313561,,,,,,,,,,,,,,,,
AMOTL2,0.553994798,-0.256494313,-0.827661987,0.418136787,,,,,,,,,,,,,,,,
AMPD3,0.311375771,-0.506715184,-1.308222728,0.206404052,,,,,,,,,,,,,,,,
AMY1A_AMY1B_AMY1C,1.041512486,0.017664481,-0.18561485,0.854714012,,,,,,,,,,,,,,,,
AMY2A,1.276595561,0.10605333,-0.029691913,0.976622433,,,,,,,,,,,,,,,,
AMY2B,1.378572901,0.139429737,0.061976922,0.951228543,,,,,,,,,,,,,,,,
ANG,1.311736506,0.117846605,0.022307107,0.982435587,,,,,,,,,,,,,,,,
ANGPT1,7.079315663,0.849991278,1.14235799,0.267497208,,,,,,,,,,,,,,,,
ANGPT2,0.631575474,-0.199574744,0.010123404,0.992028372,,,,,,,,,,,,,,,,
ANGPTL1,1.054173583,0.022912129,0.723893305,0.477950347,,,,,,,,,,,,,,,,
ANGPTL2,1.059535185,0.025115383,0.705124485,0.48928764,,,,,,,,,,,,,,,,
ANGPTL3,1.975305153,0.295634197,0.004166162,0.996719326,,,,,,,,,,,,,,,,
ANGPTL4,1.016041105,0.006911278,0.511363408,0.614988057,,,,,,,,,,,,,,,,
ANK2,0.329146127,-0.482611251,-1.527316724,0.143158571,,,,,,,,,,,,,,,,
