"","gene","logFC","effect_z","AveExpr","t","P.Value","adj.P.Val","B","X78511269_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","X98625132_ChP_8_1","X98625132_ChP_8_2","X98625132_ChP_8_3","X50405592_ChP_8_1._8_2","X50405592_ChP_8_3.11_1","X50405592_ChP11_2","X50405592_ChP11_3","X50405592_ChP11_4","X41357606_ChP1_1.1_2","X41357606_ChP1_3.1_4","X20779708_ChP_9_1","X37085610_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X40034076_ChP4_1.4_2.4_3.4_4","X83419611_ChP4_1.4_2.4_3.4_4","X99592710_New_Ch33","X99592710_New_Ch34","X99592710_New_Ch35","X80487613_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X52064033_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","GO.Focus.function","Percent_in_cells"
"2043","ECHDC1",0.0074822825965732,0.0112262654514472,5.2104111328262,0.0516908765685153,0.959123544899186,0.989155864689835,-5.51064267311948,4.77513782140244,5.10597733332395,5.00645129571905,6.51645228603899,4.29253316543576,5.5768819934489,5.3712675830359,5.25342554452369,4.38654378408912,5.4674843133055,5.08652507372048,5.38863217529529,6.10424476993705,4.44331596534581,4.34560845560815,5.79950144118046,4.87359991559816,5.51966041818753,6.38393683970995,4.51104248161778,NA,0.0836575875486381
"2491","FOXK2",0.0048908490540453,0.0105390983640284,6.97786230680325,0.0528886653639139,0.958177251885576,0.989155864689835,-5.95897840410982,7.0970659162898,6.77582873163162,6.10598696926996,7.31291889195386,6.92480138093528,7.35710078556899,7.48674480045584,7.38587584054734,7.32514323942497,6.72124090555128,6.77458106740574,6.42610688071395,7.77801653761606,6.27981723306293,6.46108567302808,7.30851508866832,7.34490563452375,6.91820979467781,6.94033018823434,6.83297057650515,"Development (differentiation)",0.234760051880674
"2833","HDAC7",-0.00661964628993071,-0.00966405735214491,5.77432151297371,-0.0543453115114938,0.957026536592652,0.989155864689835,-5.66645437733336,5.91264134515237,5.89447322813024,6.28655921491178,6.35598761384575,5.87749566615692,5.5768819934489,6.41857329781426,5.64044866763294,5.60893620542557,4.57439951722201,4.23852816716553,6.26998767879667,5.41236706529938,5.3364007614293,6.66753655049551,5.79950144118046,4.87359991559816,6.30815631299382,6.5444015119032,5.88955410487151,NA,0.110894941634241
"3001","IFT43",-0.00503166122000324,-0.0126211572603623,6.66472310048201,-0.0552443729685468,0.956316346582628,0.989155864689835,-5.88041124599299,6.97677168257209,6.03886313746542,6.72265832971846,6.79208672865242,6.05806791179874,7.0305999608918,6.82192899204547,6.76243919201155,6.50202100150905,6.72124090555128,6.56045626205289,6.75541450596691,6.2354893032153,7.25067088740341,7.15296337766575,6.00595231864789,6.77172030157895,6.14769164080058,7.15445499358719,6.83297057650515,"Cilia",0.19325551232166
"3261","KIF2A",-0.00626258716352013,-0.0101650267278966,6.81101057028814,-0.0539535269856799,0.957336027757146,0.989155864689835,-5.91296683259856,5.91264134515237,6.77582873163162,6.28655921491178,6.17541536820392,7.25600728941065,7.6826766574715,7.39511432499027,7.66151028316077,7.90311930983002,6.29060655122142,6.44016202833518,6.49825666646979,7.06947935177637,6.84541440891715,7.51553345705046,6.85394922520284,6.16905579912433,5.96711939515875,6.20336459406813,7.31839740367539,NA,0.211413748378729
"3460","LINC01237",0.00933800125573241,0.0102509724819423,4.58555246849128,0.0520200788093006,0.958863458076903,0.989155864689835,-5.3409012023437,4.77513782140244,3.96847380957402,4.5210244685488,6.35598761384575,4.77795999260601,4.51275165602918,4.27173190948499,4.72291082782491,4.02397370470441,4.57439951722201,5.37603169091546,3.94805958390931,5.61881794276681,3.95788913817557,2.76064595488699,3.68402422376053,5.32105889256938,6.14769164080058,3.88143649918077,4.51104248161778,NA,0.0603112840466926
"3509","LMBR1L",0.00994985267608328,0.00912080991753018,4.89588501830015,0.0554237870632032,0.956174627471328,0.989155864689835,-5.39514768569103,5.26056464857268,5.10597733332395,5.89953609180253,2.26852477259541,5.67104478868949,5.14078287864223,5.71230450087097,5.01241744501989,5.60893620542557,5.4674843133055,3.50156257299932,5.04759525746022,5.17135896579559,3.95788913817557,2.76064595488699,4.42098981792673,5.50163113821121,6.30815631299382,5.10382892051722,4.99646930878803,NA,0.072632944228275
"3527","LNPEP",0.00547020577345032,0.0127701355075376,6.40003607481871,0.0538302972482368,0.957433374796469,0.989155864689835,-5.82192829668691,7.20809722867854,5.89447322813024,6.5914137964402,6.51645228603899,5.87749566615692,6.26277340302084,6.95623008375706,6.07654778243961,6.17081509303368,5.67393519077292,6.67148757444163,6.56696941655381,6.84121036410326,6.59015735367508,5.5680008769446,6.62262367909638,7.02887814107607,6.58379075560725,6.20336459406813,6.09600498233894,NA,0.178988326848249
"3813","MFAP3L",-0.00379318245569308,-0.0105103757870198,7.35364755846152,-0.0559106564901938,0.955790056887996,0.989155864689835,-6.02947854268009,7.58249274346004,6.85599908031561,6.84295256343617,7.31291889195386,7.3968698252505,7.49626353324061,7.76815773560449,7.74281038526261,7.32514323942497,7.12459659978249,7.20200229114041,7.82720518903492,6.56990834228586,7.74448550006637,7.51553345705046,7.82698217760257,7.39144822046078,7.34563101841248,7.15445499358719,7.04709538185799,NA,0.287289234760052
"4188","NELFA",0.00476151892382648,0.0117731304123463,6.68237494184148,0.0543030783084467,0.957059898490138,0.989155864689835,-5.90174118597679,6.84552714929384,6.85599908031561,6.72265832971846,6.91238096237013,6.49416702660541,6.72574537936338,6.59366000437235,6.59737994574105,6.42607214827575,7.05244681402665,6.30891749505693,7.44448541002881,6.84121036410326,7.0622257979903,5.5680008769446,6.85394922520284,6.54345131390583,6.452546222329,6.20336459406813,7.1433106971173,NA,0.199740596627756
