"","gene","logFC","effect_z","AveExpr","t","P.Value","adj.P.Val","B","X78511269_ChP_8_1._8_2","X78511269_ChP_8_3.11_1.11_2.11_3.11_4","X98625132_ChP_8_1","X98625132_ChP_8_2","X98625132_ChP_8_3","X45500887_New_Ch5","X45500887_New_Ch6","X45500887_New_Ch7","X45500887_New_Ch8","X50405592_ChP_8_1._8_2._8_3.11_1","X50405592_ChP11_2.11_3.11_4","X97449632_ChP2_1.2_2.2_3.2_4","X20779708_ChP_9_1","X37085610_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X87942151_ChP3_1.3_2.3_3.3_4","X40034076_ChP4_1","X40034076_ChP4_2","X40034076_ChP4_3","X40034076_ChP4_4","X08536593_ChP4_1.4_2.4_3.4_4","X83419611_ChP4_1.4_2","X83419611_ChP4_3.4_4","X80487613_ChP_6_1._6_2._6_3._6_4.11_1.11_2.11_3.11_4","X52064033_ChP_8_1._8_2._8_3.11_1.11_2.11_3.11_4","X20368989_New_Ch16","X30591933_ChP3_1.3_2.3_3.3_4","GO.Focus.function","Percent_in_cells"
"5462","TEAD1",-0.134398727778736,-0.214990225416022,7.97242890621616,-1.64048794515584,0.109655918988633,0.433745807514707,-5.22371811139861,8.48975723933121,8.30064189602051,7.29271686840169,7.55224058008062,8.07241526087546,8.07411190458249,8.14955323431998,8.2952009581505,8.5950824825661,9.19285110996077,9.22257413398618,7.32419557292073,8.39858459976197,7.3070167810811,7.54926477693739,7.21898015800679,6.45605137101825,7.78499290030891,8.04518110163984,7.78880270954844,7.88935976615341,7.94080275368155,7.63534295799343,8.01296189696177,8.58557359612849,8.10889495120257,NA,0.335447263017357
"1245","COMT",-0.152596784106422,-0.223630442443354,6.34808039759192,-1.63892589124517,0.109982455138036,0.433911174505164,-4.90368554297666,6.80170124564595,6.81785979010583,6.17072634402308,6.64953778143554,6.32698808796105,6.55473774548891,6.47970183601231,7.27350588705118,6.78109446817605,5.94093273632115,6.66932049299236,6.51128112552122,6.30097380313555,6.20748110753019,5.60173219683153,5.99658773667034,6.59035246272984,5.36466110136056,7.18635716460054,7.22692382194033,4.28055052347789,6.14938937549297,6.41295053665698,7.43977656401697,5.83833966650846,5.47662673570306,NA,0.116488651535381
"1392","CYSTM1",-0.147054284505431,-0.230401095990204,6.17812448920919,-1.63922390443723,0.109920095880512,0.433911174505164,-4.86093688365376,6.13427658473282,6.28734507340705,6.17072634402308,5.82641554351962,6.76308720276773,7.50582814500796,6.7207099355161,6.98399926985619,7.11230037665142,5.59989581848609,7.09995484732223,5.20871835550079,6.18067956941784,5.90262652600177,5.11630536966128,5.5111609095001,6.65308821807781,6.40648127705518,6.34810823459715,5.64196132121917,5.41805404722782,5.61887465879419,6.41295053665698,6.33015207284247,6.20090974589317,5.47662673570306,NA,0.111815754339119
"1876","FAM117B",0.16315378686485,0.234314090303184,5.67330644063065,1.63882420591679,0.110003739457233,0.433911174505164,-4.69389936663202,4.85416866554008,5.23289728938467,3.6682260034939,5.58540744401582,4.56145334159808,5.8177721513227,5.82762513943262,6.13600236330124,5.73378875339769,6.55098621800514,6.05264913254387,5.54975527333586,5.74458045461116,4.98508868619374,6.49481699291501,6.55846662427846,6.14289348575862,6.56260047897247,5.55164162868228,6.29403801779886,5.41805404722782,4.77087775223924,6.10809595512856,5.9891151550074,5.83833966650846,5.47662673570306,NA,0.0751001335113485
"4319","PXDN",0.116708728330037,0.209957966404053,6.68428508480091,1.63922247781038,0.109920394332788,0.433911174505164,-4.93766347406801,6.29474125692607,6.81785979010583,5.99015409838126,5.58540744401582,5.93996496485181,5.8177721513227,6.19019521881733,6.62142919047148,6.4707543475639,7.62374256044045,7.70034738861299,7.45157487939695,6.78640063030579,6.57005118691489,6.49481699291501,7.09612341022126,6.87985907992483,6.76905135643989,7.03163456980189,6.53504611730266,7.4504755249202,7.0928058471266,6.66448930365294,6.33015207284247,6.73142446259194,6.85513835895679,"Metabolism (other)",0.145193591455274
"2299","GTF3C1",-0.125644109077934,-0.255377260845895,6.58117283930077,-1.63757888520072,0.110264679679941,0.434317297656548,-4.95213175248633,7.25626710911143,6.05601952730059,6.94124449790032,6.88086332754199,6.76308720276773,7.29170333965512,5.82762513943262,7.27350588705118,7.03635152341812,6.82228823982253,6.78961472671008,6.43111077683724,6.78640063030579,5.72205428035994,6.88184011602426,6.46225130901915,6.45605137101825,5.80076021616723,5.55164162868228,6.74149699477009,6.35093985136928,7.0928058471266,6.2685606273218,6.72608074917361,6.93787534005937,5.9620535628733,NA,0.153538050734312
"5147","SP4",-0.239567443284908,-0.218590598391155,5.06388171392483,-1.63736118394986,0.110310348341965,0.434317297656548,-4.60076893136497,5.50624536211978,6.39043856637115,4.40519159766011,4.44790392026589,5.40945024815303,4.23280965060155,6.7207099355161,5.68854338633002,5.91436099903951,3.27796772359872,5.60519015557265,5.38929060114261,5.35755733150192,6.20748110753019,5.60173219683153,5.06370193252888,4.55793098503747,2.86216076083137,4.1110690372963,5.64196132121917,4.28055052347789,2.44894965735187,5.92752370948674,5.78266427753998,5.35291283933821,5.47662673570306,NA,0.0554072096128171
"5556","TMCC1",-0.0966917655680056,-0.212885264589665,7.86879061733185,-1.63791497775271,0.110194205841864,0.434317297656548,-5.21033669888128,8.06918155651094,7.94184850738128,7.69797334688795,7.95886583954327,7.79411409838835,8.13970024621007,8.51212331370469,8.3788588871974,8.1667481606738,8.03285522576219,7.70034738861299,8.24434226523151,7.67948542638928,7.59652339827609,6.70126787038244,8.42444927630677,8.06428365106226,8.21971276544946,7.81150875543739,7.96388941610653,7.31617443320861,6.97251161340889,8.04300092690667,7.36762677826113,7.27891225789444,8.51225064543378,NA,0.275700934579439
"4649","RPS20",-0.176592995101444,-0.166068585739935,5.23961342637328,-1.63543571474662,0.110714945307927,0.43564220177129,-4.68691683779771,5.953704339091,5.92477499402234,6.33119101621633,6.51829324815728,6.32698808796105,4.23280965060155,5.34219831226237,4.55103986258008,5.28632977642647,5.94093273632115,6.05264913254387,3.62375585477964,4.46447253541843,6.33872564080844,2.79437727477392,5.69173315514192,5.18596220765051,4.97763797825131,4.1110690372963,5.64196132121917,5.12854743003284,6.14938937549297,6.10809595512856,5.78266427753998,3.03098474445085,4.73966114153685,NA,0.061415220293725
"272","AGO3",-0.0739870142454521,-0.343898309099576,8.03360885075417,-1.63339675956655,0.111144719533112,0.437064484064444,-5.24498043771436,8.15533820026065,7.97540106709231,8.1056313158012,8.23450028215669,8.12216829607256,7.85730051550934,8.06466433673347,8.2952009581505,8.13067890596627,8.37950575006079,8.48560853981998,8.24434226523151,8.25703045554795,7.8812528752092,8.07977949363617,7.90805106206868,7.60629400659887,7.87711110229735,8.01795963290482,8.26087115386366,7.63104777056202,8.12137499932337,8.08672230433599,7.96486760876073,7.88896573957842,7.24216148206603,NA,0.303070761014686
