,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
CDC42BPG,0.897173961,-0.04712334,-1.786481992,0.099290031,,,,,,,,,,,,,,,
BZW2,0.79137119,-0.101619764,-2.261444183,0.043098454,,,,,,,,,,,,,,,
SERPINF1,0.611299864,-0.213745701,-2.57456014,0.024340365,,,,,,,,,,,,,,,
SFI1,0.801682692,-0.095997492,-2.656068095,0.02094299,,,,,,,,,,,,,,,
MYL4,0.647009241,-0.189089517,-2.014442308,0.06693574,,,,,,,,,,,,,,,
B3GALNT2,0.759694851,-0.119360817,-1.405428477,0.185251881,,,,,,,,,,,,,,,
EGFL8,0.709074281,-0.149308267,-3.037577773,0.010320227,,,,,,,,,,,,,,,
CHMP1A,1.107638494,0.044398041,1.366725906,0.196771743,,,,,,,,,,,,,,,
PTGR1,1.714894064,0.234237297,1.980118602,0.071088732,,,,,,,,,,,,,,,
H2AX,1.098675539,0.040869456,1.174318468,0.263045945,,,,,,,,,,,,,,,
A2M,0.511967861,-0.290757301,-2.51238229,0.027288221,,,,,,,,,,,,,,,
ORAI3,0.871088393,-0.059937773,-1.453941987,0.17161234,,,,,,,,,,,,,,,
ICAM3,0.91128431,-0.040346107,-2.621877508,0.022307516,,,,,,,,,,,,,,,
DDO,0.638417345,-0.194895322,-2.647041147,0.021295089,,,,,,,,,,,,,,,
DNAJB1,1.131162652,0.053525057,0.964166595,0.353990942,,,,,,,,,,,,,,,
ARHGAP39,0.845661603,-0.072803388,-2.340452015,0.037354959,,,,,,,,,,,,,,,
ASMTL,0.81332393,-0.089736449,-4.519665943,0.000702211,,,,,,,,,,,,,,,
MX1,0.869877998,-0.060541654,-0.826983577,0.424385996,,,,,,,,,,,,,,,
H3C1,1.186319132,0.074201534,1.147844128,0.273401748,,,,,,,,,,,,,,,
CDC27,0.884220048,-0.053439642,-2.004518931,0.068112711,,,,,,,,,,,,,,,
STARD5,0.815043682,-0.088819115,-2.439093021,0.031209536,,,,,,,,,,,,,,,
ADGRL4,0.689319007,-0.161579747,-2.598061913,0.023309025,,,,,,,,,,,,,,,
CHMP2A,1.117058278,0.048075831,2.598282313,0.023299558,,,,,,,,,,,,,,,
CCNYL1,1.040341699,0.017176006,0.765299393,0.45888105,,,,,,,,,,,,,,,
MROH2B,0.190372504,-0.720395777,-2.454429402,0.030346278,,,,,,,,,,,,,,,
PXDC1,1.12036156,0.0493582,1.464879378,0.168657071,,,,,,,,,,,,,,,
ACOX3,0.752833828,-0.123300874,-3.168714565,0.008088904,,,,,,,,,,,,,,,
CSNK1G3,0.963710112,-0.016053584,-0.945379188,0.36311272,,,,,,,,,,,,,,,
SLC35A1,0.887072858,-0.052040709,-1.381196042,0.192397066,,,,,,,,,,,,,,,
IRF9,0.880355347,-0.055341994,-1.220900644,0.245570342,,,,,,,,,,,,,,,
IFT172,0.840810259,-0.075301998,-3.178073245,0.007949579,,,,,,,,,,,,,,,
INHBE,0.778632479,-0.108667485,-3.504067327,0.004349165,,,,,,,,,,,,,,,
KXD1,1.166554819,0.066905152,1.905917001,0.080891501,,,,,,,,,,,,,,,
CSNK2A1,0.982097933,-0.007845203,-1.127471383,0.281582919,,,,,,,,,,,,,,,
ARFIP2,0.924163739,-0.034251076,-1.996345736,0.069096473,,,,,,,,,,,,,,,
ACTN4,0.947371379,-0.02347974,-0.026351381,0.979410226,,,,,,,,,,,,,,,
GTF2IRD2,0.608612845,-0.215658886,-3.240987356,0.007073673,,,,,,,,,,,,,,,
CDKAL1,0.874287317,-0.058345822,-1.241195097,0.238249541,,,,,,,,,,,,,,,
PRUNE2,0.540280493,-0.267380713,-2.633990879,0.021814398,,,,,,,,,,,,,,,
TFPI,0.978575969,-0.009405453,-0.86210024,0.405531179,,,,,,,,,,,,,,,
LPL,0.859944201,-0.065529728,-2.871759026,0.014043863,,,,,,,,,,,,,,,
FAM83H,0.904866156,-0.043415655,-0.928269189,0.371563467,,,,,,,,,,,,,,,
SMOC2,0.92251933,-0.035024525,-0.471328087,0.645859866,,,,,,,,,,,,,,,
TMEM126B,1.28417607,0.108624573,1.829653487,0.092242252,,,,,,,,,,,,,,,
FRMPD2,0.900847911,-0.045348524,-1.984460137,0.070550567,,,,,,,,,,,,,,,
ZCCHC8,0.868076775,-0.061441863,-4.810709302,0.000425711,,,,,,,,,,,,,,,
SPRYD7,0.85833831,-0.066341503,-1.879069347,0.084733418,,,,,,,,,,,,,,,
GRAMD4,0.847463902,-0.071878792,-1.687819227,0.117242334,,,,,,,,,,,,,,,
GBA2,0.809314304,-0.091882784,-2.405861378,0.033162226,,,,,,,,,,,,,,,
FAM161A,0.779144483,-0.108382,-2.452927113,0.030429808,,,,,,,,,,,,,,,
ADIPOQ,0.608700578,-0.215596286,-2.598707919,0.023281288,,,,,,,,,,,,,,,
TMEM260,0.743892084,-0.128490063,-3.542762282,0.004050197,,,,,,,,,,,,,,,
FAM107A,1.304748316,0.115526745,1.9848862,0.070497957,,,,,,,,,,,,,,,
GPD2,1.114719928,0.047165765,0.888202421,0.391887729,,,,,,,,,,,,,,,
CCN2,0.625467835,-0.203795019,-2.40729182,0.033075799,,,,,,,,,,,,,,,
HAGH,1.108830822,0.04486529,0.549389084,0.592815428,,,,,,,,,,,,,,,
LENG8,0.449472097,-0.347297264,-2.787144614,0.016431305,,,,,,,,,,,,,,,
CNOT4,0.93342805,-0.029919153,-3.247379991,0.006990309,,,,,,,,,,,,,,,
ASNS,0.787749955,-0.103611613,-2.514397908,0.027187431,,,,,,,,,,,,,,,
CNOT2,0.658150514,-0.181674775,-2.882326498,0.013770976,,,,,,,,,,,,,,,
TTC33,0.878585183,-0.056216125,-2.01655263,0.066687888,,,,,,,,,,,,,,,
RAB4B,0.882744213,-0.054165121,-1.408901458,0.184246192,,,,,,,,,,,,,,,
HMGA1,1.153366354,0.061967278,1.483315505,0.163773208,,,,,,,,,,,,,,,
ATP23,0.792156406,-0.101189061,-1.881962459,0.084311547,,,,,,,,,,,,,,,
ASAP2,0.858615662,-0.066201194,-2.50814715,0.027501181,,,,,,,,,,,,,,,
GPCPD1,0.805164552,-0.094115354,-1.654929239,0.123837359,,,,,,,,,,,,,,,
RABL2A,0.963076124,-0.016339384,-0.755572028,0.464479157,,,,,,,,,,,,,,,
