Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
NA,GOBP_CARDIAC_MUSCLE_CONTRACTION,GO:0060048,Muscle contraction of cardiac muscle tissue. [GOC:dph],0.025461813,0.143824074,0.352487858,0.293048412,1.45959804,65,"c(""DMD"", ""BIN1"", ""CTNNA3"", ""DLG1"", ""SNTA1"", ""SRI"", ""CACNB2"", ""GSN"", ""CALM3"", ""ATP1A1"", ""ATP1B1"", ""CAMK2D"", ""EHD3"", ""ANK2"", ""ATP1A2"", ""FGF12"", ""GJA1"", ""NEDD4L"", ""SLC8A1"", ""SCN3B"", ""PIK3CA"", ""NPPA"", ""GAA"", ""SUMO1"", ""PRKACA"", ""ACE2"", ""TPM1"", ""CACNA2D1"", ""SLC9A1"", ""GSTO1"")"
NA,GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,GO:0048738,"The process whose specific outcome is the progression of cardiac muscle over time, from its formation to the mature structure. [GOC:dph, GOC:jid, GOC:lm]",0.331898229,0.626036149,0.203508959,0.190698609,1.02007805,95,"c(""PRKAR1A"", ""HAND1"", ""PLEC"", ""LRP2"", ""NEBL"", ""CDC42"", ""ARRB2"", ""SAV1"", ""NDRG4"", ""GSK3A"", ""PI16"", ""PTCD2"")"
NA,GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,GO:0055008,The process in which the anatomical structures of cardiac muscle tissue are generated and organized. [GOC:devbiol],0.694058154,0.889974771,0.041404427,-0.281300555,-0.833847513,21,"c(""FGFR2"", ""HEG1"", ""NOTCH1"", ""WNT5A"", ""TGFB2"", ""ENG"")"
NA,GOBP_CARDIAC_SEPTUM_MORPHOGENESIS,GO:0060411,"The process in which the anatomical structure of a cardiac septum is generated and organized. A cardiac septum is a partition that separates parts of the heart. [GOC:dph, GOC:mtg_heart]",0.610785463,0.841599808,0.043800203,-0.278806068,-0.911782357,34,"c(""BMP7"", ""FGFR2"", ""NOTCH1"", ""WNT5A"", ""TGFB2"", ""DHRS3"", ""FZD2"", ""RBM15"", ""ENG"", ""SLIT2"", ""NRP2"", ""TGFBR3"", ""NRP1"", ""DNAH11"")"
NA,GOBP_CARDIAC_VENTRICLE_DEVELOPMENT,GO:0003231,"The process whose specific outcome is the progression of a cardiac ventricle over time, from its formation to the mature structure. A cardiac ventricle receives blood from a cardiac atrium and pumps it out of the heart. [GOC:mtg_heart]",0.459459459,0.733528031,0.197822021,0.207589835,1.000681054,52,"c(""WNT11"", ""HAND1"", ""LRP2"", ""SAV1"", ""GSK3A"", ""CPE"", ""PTCD2"", ""LUZP1"", ""DCTN5"", ""FKBP1A"", ""PDE2A"")"
NA,GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS,GO:0003208,The process in which the cardiac ventricle is generated and organized. A cardiac ventricle receives blood from a cardiac atrium and pumps it out of the heart. [GOC:mtg_heart],0.338709677,0.630010638,0.176694269,0.267009248,1.082366755,26,"c(""HAND1"", ""LRP2"", ""GSK3A"", ""CPE"", ""PTCD2"")"
NA,GOBP_CARDIOCYTE_DIFFERENTIATION,GO:0035051,The process in which a relatively unspecialized cell acquires the specialized structural and/or functional features of a cell that will form part of the cardiac organ of an individual. [GOC:bf],0.742041712,0.914499237,0.031636972,-0.235630863,-0.854096247,61,"c(""BMP7"", ""PPARA"", ""NEB"", ""DHX36"", ""FHOD3"", ""VCAM1"", ""NOTCH1"", ""NOX4"", ""AKAP13"", ""PDCD4"", ""TGFB2"", ""CTDP1"", ""AGT"", ""ENG"", ""IFT20"", ""ZMPSTE24"")"
NA,GOBP_CARDIOLIPIN_METABOLIC_PROCESS,GO:0032048,"The chemical reactions and pathways involving cardiolipin, 1,3-bis(3-phosphatidyl)glycerol. [GOC:mah]",0.079349619,0.290978086,0.287805131,0.428487484,1.422151139,14,"c(""PLSCR3"", ""MECP2"", ""PLA2G6"", ""TAMM41"", ""PGS1"", ""THEM5"", ""HADHA"", ""PHB2"", ""STOML2"", ""PNPLA8"", ""LCLAT1"", ""PTPMT1"", ""DNAJC19"", ""SLC27A1"")"
NA,GOBP_CARNITINE_METABOLIC_PROCESS,GO:0009437,"The chemical reactions and pathways involving carnitine (hydroxy-trimethyl aminobutyric acid), a compound that participates in the transfer of acyl groups across the inner mitochondrial membrane. [GOC:jl, ISBN:0198506732]",0.821038251,0.948634433,0.037225401,-0.291916042,-0.735271331,11,"c(""CROT"", ""CPT1C"")"
NA,GOBP_CARTILAGE_DEVELOPMENT,GO:0051216,"The process whose specific outcome is the progression of a cartilage element over time, from its formation to the mature structure. Cartilage elements are skeletal elements that consist of connective tissue dominated by extracellular matrix containing collagen type II and large amounts of proteoglycan, particularly chondroitin sulfate. [GOC:cjm, PMID:23251424]",0.668810289,0.876095019,0.035466501,-0.237764619,-0.891853471,78,"c(""CCN2"", ""BMP7"", ""TSKU"", ""IFT80"", ""RB1"", ""SFRP2"", ""ECM1"", ""GPLD1"", ""CCN3"", ""TRPV4"", ""WNT5A"", ""BGN"", ""NFIB"", ""MBOAT2"", ""COL27A1"", ""SMAD3"", ""ZMPSTE24"", ""STC1"", ""ATP7A"", ""MYF5"", ""BPNT2"", ""EFEMP1"", ""COL1A1"", ""COL11A2"", ""SERPINH1"", ""RFLNB"", ""SMAD5"", ""MEF2D"", ""SULF2"")"
