gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
RAD9A,0.563086778,6.541180394,2.245319203,0.028789223,0.087659493,-4.374315654,NA,0.090361446
APOOL,0.498636227,6.666110234,2.244397384,0.02885211,0.087807679,-4.37657138,Metabolism or Transport (lipid),0.113253012
ICAM5,0.636344543,5.543291739,2.243449473,0.028916904,0.087831718,-4.400988149,Inflammation/Immune/Stress/Toxic/Detox,0.045783133
OSBPL9,0.485450208,7.592132765,2.24360477,0.02890628,0.087831718,-4.360802942,Metabolism or Transport (lipid),0.204819277
SNF8,0.518443779,6.282196956,2.244034922,0.028876871,0.087831718,-4.385669506,NA,0.086746988
TENM3,0.508095632,6.659419135,2.243636907,0.028904082,0.087831718,-4.369594536,Development (differentiation),0.093975904
RUSC2,0.413196327,6.706367424,2.243168481,0.028936136,0.087846922,-4.393163894,NA,0.143373494
C3AR1,0.531263609,6.518261224,2.242115593,0.029008299,0.087893153,-4.377560954,Inflammation/Immune/Stress/Toxic/Detox,0.080722892
CDK9,0.522371232,7.240014002,2.242340106,0.028992898,0.087893153,-4.367489322,Development (cell cycle),0.192771084
KRT15,0.590339194,6.54715478,2.242450886,0.028985301,0.087893153,-4.372145076,NA,0.085542169
MLANA,0.651344386,6.581327081,2.242202497,0.029002337,0.087893153,-4.373662007,NA,0.101204819
SH3YL1,0.435157821,6.794593216,2.241152663,0.029074436,0.088050338,-4.383917735,NA,0.136144578
CALB1,0.432594389,7.162697402,2.239937958,0.029158055,0.088145914,-4.372567511,Transport,0.131325301
NOTCH3,-0.564892902,7.112295932,-2.240285461,0.029134111,0.088145914,-4.417165264,Development (differentiation),0.091566265
PAFAH1B1,0.437695944,7.519662255,2.239864863,0.029163093,0.088145914,-4.37158246,NA,0.231325301
PRICKLE2,0.502757066,6.797117287,2.240221594,0.029138511,0.088145914,-4.376592249,Polarity,0.11686747
IGLV7.43,0.500164622,6.762439588,2.237965088,0.029294319,0.088455951,-4.386353142,NA,0.119277108
RABEP1,0.467898665,7.063905848,2.238041441,0.029289035,0.088455951,-4.383146158,Transport,0.175903614
CYSTM1,0.518259483,7.185976254,2.235936508,0.029435017,0.088837357,-4.377186318,NA,0.13373494
MMP19,0.504875811,6.886040311,2.235401694,0.02947221,0.088906155,-4.385618236,NA,0.107228916
PPP1R15B,0.548635807,7.046406938,2.234057363,0.029565884,0.089101676,-4.386407563,Metabolism (other),0.148192771
SH3KBP1,0.570417877,7.476299882,2.234187484,0.029556806,0.089101676,-4.378514087,NA,0.191566265
RTN4R,0.467348048,6.833961287,2.233621854,0.029596287,0.08914979,-4.39966848,NA,0.139759036
HGF,0.488361428,6.473133158,2.233316254,0.029617637,0.089170604,-4.398478099,NA,0.084337349
BMP2K,0.425266325,6.905000821,2.232768696,0.029655926,0.089242368,-4.399705255,NA,0.134939759
SESN2,0.494076816,6.508933376,2.232074335,0.029704542,0.089345128,-4.401389857,NA,0.081927711
