gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
CLINT1,-1.853961826,-1.811702174,-2.91454981,0.008650755,0.272211969,-3.647158218,,,,,,,,,,,,,,,,,,,
CLIP2,-2.279714592,1.886276087,-2.437450031,0.024388824,0.272211969,-3.92845855,,,,,,,,,,,,,,,,,,,
CLNS1A,-1.457948859,2.372193478,-2.690682377,0.014165947,0.272211969,-3.779693097,,,,,,,,,,,,,,,,,,,
CMC1,-3.135004553,4.392936957,-2.553240316,0.019064989,0.272211969,-3.860706397,,,,,,,,,,,,,,,,,,,
CNST,-1.330837248,1.940856522,-2.099404124,0.048851082,0.272211969,-4.121549571,,,,,,,,,,,,,,,,,,,
COMMD1,-1.274611365,4.023223913,-2.473367405,0.0226044,0.272211969,-3.907504822,,,,,,,,,,,,,,,,,,,
COQ7,-1.684823619,0.613226087,-2.584043688,0.017844784,0.272211969,-3.842595216,,,,,,,,,,,,,,,,,,,
CPOX,-1.666811252,-0.882606522,-2.473008201,0.022621625,0.272211969,-3.907714678,,,,,,,,,,,,,,,,,,,
CR2,-1.947459186,-5.346378261,-2.064890574,0.05232114,0.272211969,-4.140712469,,,,,,,,,,,,,,,,,,,
CRADD,-1.847888189,1.833143478,-2.197751353,0.040075503,0.272211969,-4.066303326,,,,,,,,,,,,,,,,,,,
CRHBP,-1.148867251,-3.118436957,-2.103785047,0.048425815,0.272211969,-4.119108372,,,,,,,,,,,,,,,,,,,
CRIP2,-1.000188181,6.074286957,-2.238170096,0.036905804,0.272211969,-4.043348666,,,,,,,,,,,,,,,,,,,
CRISP3,-1.090557967,-0.979784783,-2.16768313,0.042592699,0.272211969,-4.083289184,,,,,,,,,,,,,,,,,,,
CRYM,-3.877559649,5.88718913,-4.215119279,0.000436101,0.272211969,-2.912761004,,,,,,,,,,,,,,,,,,,
CSH1,-2.471885329,5.225176087,-2.896717022,0.009000806,0.272211969,-3.657717768,,,,,,,,,,,,,,,,,,,
CTF1,-2.038348657,4.890084783,-2.408679964,0.025912053,0.272211969,-3.945195904,,,,,,,,,,,,,,,,,,,
CYTH3,-2.798511674,2.495678261,-2.781716934,0.011606786,0.272211969,-3.725831064,,,,,,,,,,,,,,,,,,,
DAAM1,-1.144109812,3.809545652,-2.085956514,0.050177637,0.272211969,-4.129030809,,,,,,,,,,,,,,,,,,,
DAND5,-2.149236774,-2.228476087,-2.960560551,0.007807024,0.272211969,-3.619925783,,,,,,,,,,,,,,,,,,,
DAPK2,-2.191227214,-2.850402174,-2.14182992,0.044871234,0.272211969,-4.097828563,,,,,,,,,,,,,,,,,,,
DARS1,-1.616400841,4.647965217,-2.740088399,0.012716992,0.272211969,-3.750473589,,,,,,,,,,,,,,,,,,,
DCBLD2,-1.423710723,1.260726087,-2.287863919,0.033324307,0.272211969,-4.01494903,,,,,,,,,,,,,,,,,,,
DCDC2C,-3.966154719,-4.100804348,-3.132264052,0.005306058,0.272211969,-3.518603096,,,,,,,,,,,,,,,,,,,
DCTD,-0.764654522,7.924319565,-2.248822022,0.036109602,0.272211969,-4.037277112,,,,,,,,,,,,,,,,,,,
DCTN2,-1.418897048,4.040719565,-2.312618002,0.031662269,0.272211969,-4.000734581,,,,,,,,,,,,,,,,,,,
DCTN6,-1.619656874,1.939143478,-2.864907705,0.009659266,0.272211969,-3.676557507,,,,,,,,,,,,,,,,,,,
DCTPP1,-1.189330465,4.989845652,-2.976038892,0.007541447,0.272211969,-3.610769921,,,,,,,,,,,,,,,,,,,
DCXR,-1.082242816,1.015534783,-2.328190153,0.030656286,0.272211969,-3.991770986,,,,,,,,,,,,,,,,,,,
DDA1,-2.122845432,3.670108696,-2.176098196,0.041874084,0.272211969,-4.0785435,,,,,,,,,,,,,,,,,,,
DDHD2,-1.011111506,4.11136087,-2.144879297,0.044596837,0.272211969,-4.09611689,,,,,,,,,,,,,,,,,,,
DDI2,-1.463099096,3.836134783,-2.157001952,0.043520997,0.272211969,-4.089303587,,,,,,,,,,,,,,,,,,,
DDX1,-1.194458026,2.187169565,-2.380954776,0.027463329,0.272211969,-3.961282669,,,,,,,,,,,,,,,,,,,
DENND2B,-1.926105098,-0.478404348,-2.668123537,0.01487849,0.272211969,-3.793021369,,,,,,,,,,,,,,,,,,,
DGKA,-1.418199685,1.70103913,-2.388569543,0.027028887,0.272211969,-3.956868767,,,,,,,,,,,,,,,,,,,
DGKZ,-0.935973,0.383236957,-2.857215622,0.0098253,0.272211969,-3.681113786,,,,,,,,,,,,,,,,,,,
DIABLO,-2.321230454,6.004532609,-2.305763702,0.032114655,0.272211969,-4.0046748,,,,,,,,,,,,,,,,,,,
DLGAP5,-1.087657136,-0.359097826,-2.063235149,0.052493029,0.272211969,-4.141628455,,,,,,,,,,,,,,,,,,,
DMD,-2.233278436,4.846578261,-2.455759852,0.023463346,0.272211969,-3.917784581,,,,,,,,,,,,,,,,,,,
DNAJB1,-2.436952832,2.82465,-2.306732833,0.032050332,0.272211969,-4.004117889,,,,,,,,,,,,,,,,,,,
DNAJC6,-2.316935187,5.75155,-2.128550976,0.046084091,0.272211969,-4.10527196,,,,,,,,,,,,,,,,,,,
DNAJC9,-2.783099736,1.161723913,-2.173414252,0.042102074,0.272211969,-4.080057804,,,,,,,,,,,,,,,,,,,
DNM1,-1.724775753,2.753484783,-2.646286438,0.015600511,0.272211969,-3.805913393,,,,,,,,,,,,,,,,,,,
DNPH1,0.546223878,4.963780435,2.558938881,0.018833489,0.272211969,-3.857358243,,,,,,,,,,,,,,,,,,,
DOC2B,-2.064723883,3.707886957,-2.613396761,0.016750865,0.272211969,-3.825309447,,,,,,,,,,,,,,,,,,,
DOK1,-2.341142251,-0.902123913,-2.100014991,0.048791582,0.272211969,-4.121209292,,,,,,,,,,,,,,,,,,,
DOK2,-1.904840144,0.964178261,-2.196716181,0.040159857,0.272211969,-4.066889422,,,,,,,,,,,,,,,,,,,
DPEP2,-1.592930622,-6.47876087,-2.636197016,0.015945201,0.272211969,-3.811866286,,,,,,,,,,,,,,,,,,,
DRG2,-1.108905874,1.10821087,-2.080479984,0.05072713,0.272211969,-4.132072188,,,,,,,,,,,,,,,,,,,
DTYMK,-2.761436108,1.269441304,-2.309232814,0.031884952,0.272211969,-4.002680974,,,,,,,,,,,,,,,,,,,
ECHDC3,-3.625341423,0.503434783,-2.886002248,0.009217637,0.272211969,-3.664063347,,,,,,,,,,,,,,,,,,,
ECHS1,-2.374759977,2.691473913,-2.327513962,0.030699349,0.272211969,-3.99216055,,,,,,,,,,,,,,,,,,,
EDF1,-2.521709269,3.900643478,-2.16436599,0.042879043,0.272211969,-4.08515813,,,,,,,,,,,,,,,,,,,
EIF1AX,-1.280890988,1.563008696,-2.809213219,0.010924889,0.272211969,-3.709547237,,,,,,,,,,,,,,,,,,,
EIF2AK2,-2.24540729,-0.712278261,-2.230483261,0.037490339,0.272211969,-4.047724521,,,,,,,,,,,,,,,,,,,
EIF2AK3,-1.150824214,0.37943913,-2.669243579,0.014842325,0.272211969,-3.792359855,,,,,,,,,,,,,,,,,,,
EIF4G1,-1.467015394,3.135491304,-2.098307905,0.048958021,0.272211969,-4.122160117,,,,,,,,,,,,,,,,,,,
EIF4G3,-2.716749366,2.346797826,-2.372354497,0.027961791,0.272211969,-3.966263739,,,,,,,,,,,,,,,,,,,
EIF5,-1.494472003,3.070604348,-2.118581388,0.047014135,0.272211969,-4.110849122,,,,,,,,,,,,,,,,,,,
ELAC1,-1.440433313,6.231515217,-2.171879388,0.042232963,0.272211969,-4.080923497,,,,,,,,,,,,,,,,,,,
ELOB,-1.588028856,3.245078261,-3.20438075,0.00450558,0.272211969,-3.476268589,,,,,,,,,,,,,,,,,,,
ENO2,-0.482832727,6.602126087,-2.447424067,0.02388054,0.272211969,-3.922646091,,,,,,,,,,,,,,,,,,,
ENOX2,-1.630175262,1.649293478,-2.539750009,0.019623739,0.272211969,-3.868627978,,,,,,,,,,,,,,,,,,,
EPGN,-0.69183817,-0.344495652,-2.425376047,0.025017624,0.272211969,-3.935488031,,,,,,,,,,,,,,,,,,,
EPHA1,-1.622704318,-3.690695652,-2.669335261,0.014839368,0.272211969,-3.792305705,,,,,,,,,,,,,,,,,,,
EPN1,-2.53631704,-0.949969565,-2.205990633,0.039409852,0.272211969,-4.061635126,,,,,,,,,,,,,,,,,,,
EPO,-2.389786453,-4.495891304,-2.982248775,0.007437366,0.272211969,-3.60709751,,,,,,,,,,,,,,,,,,,
EPPK1,-2.943637127,1.066817391,-3.320366498,0.003458728,0.272211969,-3.408568507,,,,,,,,,,,,,,,,,,,
ERBIN,-2.059145307,1.202069565,-2.07957095,0.050818863,0.272211969,-4.132576715,,,,,,,,,,,,,,,,,,,
ERC2,-2.300325378,3.392445652,-2.567432982,0.018493328,0.272211969,-3.852365543,,,,,,,,,,,,,,,,,,,
ERI1,-1.784934642,0.920626087,-2.416608384,0.025483668,0.272211969,-3.940587811,,,,,,,,,,,,,,,,,,,
ESR1,2.152857558,-1.064382609,2.689776935,0.014193911,0.272211969,-3.780228234,,,,,,,,,,,,,,,,,,,
ESYT2,-1.891189269,3.365256522,-2.092774634,0.049501044,0.272211969,-4.125240039,,,,,,,,,,,,,,,,,,,
EVI5,-1.582384697,0.898093478,-2.535863099,0.019787565,0.272211969,-3.870909169,,,,,,,,,,,,,,,,,,,
EXOSC10,-1.171953224,0.293265217,-2.16004837,0.043254375,0.272211969,-4.087589263,,,,,,,,,,,,,,,,,,,
FABP3,0.978043546,6.719045652,2.542898835,0.019491958,0.272211969,-3.866779555,,,,,,,,,,,,,,,,,,,
FABP5,0.5738605,6.380867391,2.157100863,0.043512317,0.272211969,-4.08924794,,,,,,,,,,,,,,,,,,,
FADD,-1.699085242,6.426191304,-2.881224353,0.009315935,0.272211969,-3.666893121,,,,,,,,,,,,,,,,,,,
FAM13A,-1.853429165,3.893769565,-2.74357057,0.012620377,0.272211969,-3.748412935,,,,,,,,,,,,,,,,,,,
FARSA,-2.597081107,3.589054348,-2.760241443,0.012167443,0.272211969,-3.738545759,,,,,,,,,,,,,,,,,,,
FCAMR,-2.152702532,-4.340163043,-2.924842582,0.00845471,0.272211969,-3.641064483,,,,,,,,,,,,,,,,,,,
FCRL1,-2.408656549,-4.5467,-2.860209004,0.009760365,0.272211969,-3.679340692,,,,,,,,,,,,,,,,,,,
FCRL6,-1.552152846,-5.355719565,-2.280427625,0.033839078,0.272211969,-4.019210609,,,,,,,,,,,,,,,,,,,
FETUB,-2.487013441,-6.626558696,-3.433103557,0.002671038,0.272211969,-3.343321026,,,,,,,,,,,,,,,,,,,
FGA,-1.272111834,-0.51986087,-2.145394437,0.044550633,0.272211969,-4.095827645,,,,,,,,,,,,,,,,,,,
FGD3,-3.315047525,-2.140536957,-3.131838011,0.005311175,0.272211969,-3.518853662,,,,,,,,,,,,,,,,,,,
FGR,-1.21419898,-0.437941304,-2.383180496,0.02733568,0.272211969,-3.959992878,,,,,,,,,,,,,,,,,,,
FH,-2.347468205,0.732734783,-2.27740249,0.034050578,0.272211969,-4.020943091,,,,,,,,,,,,,,,,,,,
FKBP1B,-1.459582719,0.854363043,-2.469240654,0.022803035,0.272211969,-3.909915424,,,,,,,,,,,,,,,,,,,
FKBPL,-1.966684832,0.399713043,-2.336735444,0.030116884,0.272211969,-3.986845313,,,,,,,,,,,,,,,,,,,
FLT4,-1.547439973,-3.136595652,-2.214648438,0.03872129,0.272211969,-4.056723607,,,,,,,,,,,,,,,,,,,
