gene,GO Focus function
BTG4,Development (cell cycle)
CACTIN,Development (cell cycle)
CACYBP,Development (cell cycle)
CCDC14,Development (cell cycle)
CCNA1,Development (cell cycle)
CCNA2,Development (cell cycle)
CCNB1,Development (cell cycle)
CCNB2,Development (cell cycle)
CCNB3,Development (cell cycle)
CCND1,Development (cell cycle)
CCND2,Development (cell cycle)
CCND3,Development (cell cycle)
CCNE1,Development (cell cycle)
CCNE2,Development (cell cycle)
CCNF,Development (cell cycle)
CGREF1,Development (cell cycle)
CGRRF1,Development (cell cycle)
CINP,Development (cell cycle)
COPS2,Development (cell cycle)
COPS3,Development (cell cycle)
COPS4,Development (cell cycle)
COPS5,Development (cell cycle)
COPS6,Development (cell cycle)
COPS7A,Development (cell cycle)
COPS7B,Development (cell cycle)
COPS8,Development (cell cycle)
COPS9,Development (cell cycle)
DNLZ,Development (cell cycle)
DPPA3,Development (cell cycle)
DPPA4,Development (cell cycle)
DPPA5,Development (cell cycle)
DSCC1,Development (cell cycle)
EML1,Development (cell cycle)
EML2,Development (cell cycle)
EML3,Development (cell cycle)
EML4,Development (cell cycle)
EML5,Development (cell cycle)
EML6,Development (cell cycle)
ENOPH1,Development (cell cycle)
EPHA2,Development (cell cycle)
EPHA3,Development (cell cycle)
EPHA4,Development (cell cycle)
EPHA5,Development (cell cycle)
EPHA6,Development (cell cycle)
EPHA7,Development (cell cycle)
EPHA8,Development (cell cycle)
EPHB1,Development (cell cycle)
EPHB2,Development (cell cycle)
EPHB3,Development (cell cycle)
EPHB4,Development (cell cycle)
EPHB6,Development (cell cycle)
EREG,Development (cell cycle)
ESCO1,Development (cell cycle)
ESCO2,Development (cell cycle)
EVI5,Development (cell cycle)
EVI5L,Development (cell cycle)
FAM83A,Development (cell cycle)
FAM83B,Development (cell cycle)
FAM83D,Development (cell cycle)
FAM83G,Development (cell cycle)
FAM83H,Development (cell cycle)
FANK1,Development (cell cycle)
FCSK,Development (cell cycle)
FOXM1,Development (cell cycle)
IGF1R,Development (cell cycle)
IGF2BP1,Development (cell cycle)
IGF2BP2,Development (cell cycle)
IGF2BP3,Development (cell cycle)
IGF2R,Development (cell cycle)
IGFBP2,Development (cell cycle)
IGFBP4,Development (cell cycle)
IGFBP5,Development (cell cycle)
IGFBP6,Development (cell cycle)
IGFBP7,Development (cell cycle)
IGFBP7-AS1,Development (cell cycle)
IGFN1,Development (cell cycle)
INSC,Development (cell cycle)
LIN37,Development (cell cycle)
LIN52,Development (cell cycle)
LIN54,Development (cell cycle)
LIN9,Development (cell cycle)
LZTS1,Development (cell cycle)
LZTS1-AS1,Development (cell cycle)
LZTS2,Development (cell cycle)
LZTS3,Development (cell cycle)
MAIP1,Development (cell cycle)
MAJIN,Development (cell cycle)
MAK,Development (cell cycle)
MBIP,Development (cell cycle)
MCMDC2,Development (cell cycle)
MCRIP1,Development (cell cycle)
MDK,Development (cell cycle)
MELK,Development (cell cycle)
MEOX1,Development (cell cycle)
MEOX2,Development (cell cycle)
MKI67,Development (cell cycle)
MOB2,Development (cell cycle)
MOB3A,Development (cell cycle)
MOB3B,Development (cell cycle)
MOB3C,Development (cell cycle)
MPLKIP,Development (cell cycle)
NPAT,Development (cell cycle)
NUAK1,Development (cell cycle)
