"","X.1","X","show","Aggregated","pathway","gs_number.x","gs_description.x","gs_number.y","gs_description.y","pval","padj","log2err","ES","NES","size","leadingEdge"
"874","7969","7969",NA,NA,"GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX","GO:0031461","Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity. [PMID:15571813, PMID:15688063]","GO:0031461","Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity. [PMID:15571813, PMID:15688063]","0.558022199798184","1","0.0410713282497468","-0.413321719196361","-0.965385720979329","16","c(""DTL"", ""DCAF16"", ""FEM1A"", ""SPOP"", ""CUL3"", ""DDB2"", ""FBXL16"", ""FBXL15"", ""FBXO33"")"
"875","7981","7981",NA,NA,"GOCC_CYTOPLASMIC_SIDE_OF_MEMBRANE","GO:0098562","The side of a membrane that faces the cytoplasm. [GOC:dos]","GO:0098562","The side of a membrane that faces the cytoplasm. [GOC:dos]","0.83967112024666","1","0.0216519363667421","-0.340249358573979","-0.764997782067991","12","c(""SPTA1"", ""CARMIL2"", ""MYZAP"", ""PTPN22"", ""PLEKHA4"", ""CDH1"")"
"876","7997","7997",NA,NA,"GOCC_DENDRITIC_TREE","GO:0097447","The entire complement of dendrites for a neuron, consisting of each primary dendrite and all its branches. [GOC:aruk, GOC:bc, NIF_Subcellular:sao172297168]","GO:0097447","The entire complement of dendrites for a neuron, consisting of each primary dendrite and all its branches. [GOC:aruk, GOC:bc, NIF_Subcellular:sao172297168]","0.28971028971029","1","0.0714786287425507","-0.439706280021766","-1.09956803628654","31","c(""FMR1"", ""SKOR1"", ""ABHD17C"", ""CNIH2"", ""CDK5R1"")"
"877","8006","8006",NA,NA,"GOCC_DISTAL_AXON","GO:0150034","That part of an axon close to and including the growth cone or the axon terminus. [GOC:aruk, GOC:bc, PMID:17202468]","GO:0150034","That part of an axon close to and including the growth cone or the axon terminus. [GOC:aruk, GOC:bc, PMID:17202468]","0.629817444219067","1","0.0356933083353341","-0.398429434546588","-0.919117050973947","14","c(""FMR1"", ""CDK5R1"")"
"878","8017","8017",NA,NA,"GOCC_EARLY_ENDOSOME","GO:0005769","A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways. [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]","GO:0005769","A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways. [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]","0.0740740740740741","1","0.161978948883402","-0.510283312542372","-1.26215250115193","28","c(""ASAH1"", ""MGRN1"", ""AP1AR"", ""SPHK1"", ""CD8B"", ""ST8SIA2"", ""NOX1"", ""SLC5A1"", ""TGFBRAP1"", ""VPS29"", ""RHOB"")"
"879","8019","8019",NA,NA,"GOCC_EARLY_ENDOSOME_MEMBRANE","GO:0031901","The lipid bilayer surrounding an early endosome. [GOC:pz]","GO:0031901","The lipid bilayer surrounding an early endosome. [GOC:pz]","0.87525354969574","1","0.0182442460385585","-0.316781309668362","-0.73076705157938","14","c(""SPHK1"", ""CD8B"")"
"880","8027","8027",NA,NA,"GOCC_ENDOCYTIC_VESICLE","GO:0030139","A membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance. Endocytic vesicles fuse with early endosomes to deliver the cargo for further sorting. [GOC:go_curators, PMID:19696797]","GO:0030139","A membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance. Endocytic vesicles fuse with early endosomes to deliver the cargo for further sorting. [GOC:go_curators, PMID:19696797]","0.46285140562249","1","0.0493910105981501","-0.429191646843481","-1.01535957338249","18","c(""RPS27A"", ""SPHK1"", ""TYRP1"", ""DPP4"", ""SLAMF1"", ""FLNB"", ""EGF"")"
"881","8034","8034",NA,NA,"GOCC_ENDOPLASMIC_RETICULUM","GO:0005783","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached). [ISBN:0198506732]","GO:0005783","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached). [ISBN:0198506732]","0.766233766233766","1","0.0252009996957834","-0.34384746975117","-0.929019467122313","123","c(""ASAH1"", ""RPS8"", ""RPS27A"", ""VHL"", ""MGRN1"", ""FKBP9"", ""CYP3A5"", ""CNIH2"", ""FMO2"", ""ARSD"", ""CDS1"", ""XBP1"", ""PTN"", ""OST4"", ""ERGIC2"", ""AGA"", ""GPR37"", ""PYURF"", ""MMP27"", ""EEF1G"", ""F5"", ""LSG1"", ""CYP4F8"", ""SLN"", ""BET1"", ""ALG3"", ""AHCYL1"", ""EXTL2"", ""PRSS56"", ""CHRDL1"", ""CTSC"", ""STBD1"", ""ATG9A"", ""PIGV"", ""HSPA1B"", ""YIPF4"", ""GALNT1"", ""ALG10"", ""F9"")"
"882","8037","8037",NA,NA,"GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT","GO:0005793","A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi  and Golgi-to-ER transport. [GOC:pr, PMID:16723730]","GO:0005793","A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi  and Golgi-to-ER transport. [GOC:pr, PMID:16723730]","0.494758909853249","1","0.0483117581055019","-0.459795723257551","-1.00179908311531","10","c(""CNIH2"", ""ERGIC2"", ""F5"", ""BET1"", ""CTSC"", ""GALNT1"", ""CNIH3"")"
"883","8039","8039",NA,NA,"GOCC_ENDOPLASMIC_RETICULUM_LUMEN","GO:0005788","The volume enclosed by the membranes of the endoplasmic reticulum. [ISBN:0198547684]","GO:0005788","The volume enclosed by the membranes of the endoplasmic reticulum. [ISBN:0198547684]","0.940763052208835","1","0.0119234526278759","-0.286885740248078","-0.687627185351535","21","c(""ARSD"", ""F5"", ""CHRDL1"", ""CTSC"", ""F9"", ""TF"", ""ENAM"", ""FOXRED2"", ""IGFBP5"", ""ERLEC1"")"
